Date,Open,High,Low,Close
15/02/2024 13:35,133234,133424,133234,133404
15/02/2024 13:40,133399,133455,133316,133342
15/02/2024 13:45,133342,133455,133332,133347
15/02/2024 13:50,133342,133393,133270,133388
15/02/2024 13:55,133388,133399,133285,133357
15/02/2024 14:00,133362,133481,133342,133466
15/02/2024 14:05,133466,133522,133429,133491
15/02/2024 14:10,133497,133548,133491,133517
15/02/2024 14:15,133522,133605,133486,133579
15/02/2024 14:20,133574,133651,133533,133620
15/02/2024 14:25,133625,133749,133579,133703
15/02/2024 14:30,133703,133718,133641,133682
15/02/2024 14:35,133682,133744,133677,133713
15/02/2024 14:40,133713,133785,133615,133754
15/02/2024 14:45,133754,133775,133641,133677
15/02/2024 14:50,133682,133744,133631,133641
15/02/2024 14:55,133641,133672,133553,133564
15/02/2024 15:00,133558,133636,133538,133610
15/02/2024 15:05,133610,133718,133584,133661
15/02/2024 15:10,133656,133770,133636,133734
15/02/2024 15:15,133734,133765,133677,133708
15/02/2024 15:20,133703,133811,133698,133795
15/02/2024 15:25,133790,133857,133759,133852
15/02/2024 15:30,133852,133893,133692,133713
15/02/2024 15:35,133708,133723,133661,133692
15/02/2024 15:40,133687,133698,133579,133667
15/02/2024 15:45,133672,133739,133656,133672
15/02/2024 15:50,133672,133749,133661,133703
15/02/2024 15:55,133708,133785,133708,133759
15/02/2024 16:00,133759,133837,133754,133816
15/02/2024 16:05,133816,133821,133739,133744
15/02/2024 16:10,133749,133759,133631,133667
15/02/2024 16:15,133667,133806,133651,133790
15/02/2024 16:20,133790,133888,133765,133878
15/02/2024 16:25,133878,133914,133801,133883
15/02/2024 16:30,133883,133899,133811,133868
15/02/2024 16:35,133868,133950,133863,133873
15/02/2024 16:40,133878,133930,133842,133899
15/02/2024 16:45,133893,133909,133837,133857
15/02/2024 16:50,133852,133950,133801,133919
15/02/2024 16:55,133924,133930,133790,133842
15/02/2024 17:00,133842,133852,133770,133821
15/02/2024 17:05,133821,133847,133759,133795
15/02/2024 17:10,133790,133899,133790,133873
15/02/2024 17:15,133868,133914,133847,133899
15/02/2024 17:20,133904,133935,133806,133821
15/02/2024 17:25,133821,133883,133821,133842
15/02/2024 17:30,133837,133878,133801,133852
15/02/2024 17:35,133852,133878,133811,133847
15/02/2024 17:40,133847,133847,133759,133806
